Event 1 ID	Event 2 ID	Station ID	CC
3	4	10	96.3337
3	4	10	95.4021
3	5	10	92.7514
3	5	4	92.4853
3	5	10	97.7299
3	5	4	91.4793
3	5	10	97.3736
4	5	10	95.0264
4	5	10	96.2056
3	6	10	92.6215
3	6	4	95.1863
3	6	10	95.2242
3	6	10	97.4997
4	6	10	93.9667
4	6	10	96.3372
5	6	10	90.8261
5	6	10	96.1813
5	6	10	97.071
3	7	4	92.0625
3	7	10	91.5572
3	7	10	93.738
4	7	10	90.0113
4	7	10	92.6703
5	7	4	93.9546
5	7	10	94.7669
5	7	10	95.5323
6	7	10	91.7916
6	7	4	92.2187
6	7	10	97.8828
6	7	4	90.5315
6	7	10	96.743
3	8	10	92.8682
3	8	10	93.5395
4	8	10	91.515
4	8	10	93.3827
5	8	4	92.9984
5	8	10	94.9038
5	8	18	90.3684
5	8	4	91.9389
5	8	10	96.5166
5	8	18	91.0882
6	8	10	93.8636
6	8	10	95.4122
7	8	10	93.3371
7	8	10	94.2267
3	9	10	93.5428
3	9	10	92.1622
5	9	4	93.4085
5	9	6	92.0595
5	9	8	93.8904
5	9	10	95.0454
5	9	15	90.5142
5	9	4	95.7293
5	9	6	93.453
5	9	8	94.754
5	9	10	96.2449
5	9	15	92.0171
5	9	17	93.0572
5	9	18	91.619
5	9	4	97.0177
5	9	6	95.1728
5	9	8	93.5913
5	9	10	95.3818
5	9	12	91.0826
5	9	18	92.8306
6	9	10	90.4016
6	9	10	91.4597
7	9	10	90.3887
8	9	10	90.2334
3	11	10	90.0923
5	11	4	91.4006
5	11	10	92.2608
5	11	10	91.544
6	11	10	94.6046
6	11	10	91.9172
7	11	4	93.1322
7	11	10	91.0032
7	11	4	96.6804
7	11	8	90.4723
7	11	10	97.8653
7	11	4	95.0585
7	11	10	97.1754
7	11	12	90.1954
8	11	10	93.3396
8	11	10	91.3452
13	15	7	90.3809
13	15	12	90.3186
13	16	19	91.2548
13	18	19	91.394
24	25	19	90.5783
24	25	23	93.3242
24	25	7	94.1843
24	25	8	91.0309
24	25	23	95.3465
24	25	6	90.7495
24	25	8	91.4285
24	25	23	96.8004
26	27	19	94.4215
26	27	19	90.0511
26	27	10	91.1085
26	27	19	90.3952
13	30	19	92.3611
13	30	19	90.3408
22	30	19	92.6013
13	32	19	92.3489
17	32	19	93.44
17	32	19	95.527
19	32	2	90.6619
